2025-04-11T20:17:54.103524 | Function: shorten_url | Args: [{'url': 'https://www.youtube.com/', 'custom_alias': None, 'salt': None, 'hash': None, 'uid': 'L9v9wmi745Ude4ORUtSomS72Dqo2', 'group': None, 'description': None}]
2025-04-11T20:17:58.215817 | Function: fetch_salt | Args: ['dbae2d']
2025-04-11T20:17:58.359982 | Function: fetch_hash | Args: ['dbae2d']
2025-04-11T20:17:58.466404 | Function: redicrect_to_original | Args: ['dbae2d', '<starlette.requests.Request object at 0x1085083d0>']
2025-04-11T20:18:07.087709 | Function: shorten_url | Args: [{'url': 'https://www.youtube.com/', 'custom_alias': None, 'salt': None, 'hash': None, 'uid': None, 'group': None, 'description': None}]
2025-04-11T20:18:49.798301 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:50.027142 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:50.246226 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:50.467085 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:50.688675 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:50.900582 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:51.100534 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:51.306950 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:51.521712 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:51.731075 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:51.941737 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:52.152789 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:52.377026 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:52.601174 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:52.804001 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:53.011791 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:53.230461 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:53.468230 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:53.678222 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:53.894350 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:54.106851 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:54.325065 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:54.535530 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:54.744856 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:54.964633 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:55.111517 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:55.337576 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:55.489748 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:55.640154 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:55.850435 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:56.030939 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:56.244050 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:56.397877 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:56.612563 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:56.760520 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:56.988053 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:57.206212 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:57.465422 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:57.634865 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:57.833112 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:57.965769 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:58.179223 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:58.330977 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:58.484429 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:58.630851 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:58.804240 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:58.937594 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:59.074577 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:59.225955 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:59.366405 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:59.519766 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:59.670473 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:59.800216 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:18:59.988159 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
2025-04-11T20:19:00.119679 | Function: get_user_urls | Args: ['L9v9wmi745Ude4ORUtSomS72Dqo2']
